"sample","trial","median_body_x","direction"
"B15","4",0.749455509114487,0
"B15","4",0.659246126489351,1
"B15","5",0.522499360254246,0
"B15","5",0.707842495547983,1
"B15","6",0.47001682030478,0
"B16","1",1.14332617568395,1
"B16","2",1.03574601192955,0
"B16","2",1.2479422728788,1
"B16","3",1.17525590620483,0
"B16","4",1.19216712488487,0
"B16","4",1.00875361186031,1
"B16","5",1.00470991304087,0
"B16","5",1.01293704108932,1
"B16","6",1.06026604988652,0
"B16","6",0.894637310667126,1
"B17","1",2.60147774459169,1
"B17","2",2.48252537679105,0
"B17","2",4.10116990872831,1
"B17","3",1.37165162285841,0
"B17","3",1.55672453553104,1
"B17","4",2.04553139495823,0
"B17","4",1.25205016437538,1
"B17","5",2.31642936987652,0
"B17","6",1.93092937611249,0
"B17","6",2.72493738283822,1
"B18","1",1.42554341810358,1
"B18","2",1.8144757638468,0
"B18","2",1.68232072111784,1
"B18","3",1.68154346005959,0
"B18","3",1.13893413844711,1
"B18","4",1.28598325830496,0
"B18","5",1.23743652693551,0
"B18","5",2.04362567103178,1
"B18","6",2.14175479044764,0
"B18","6",1.14041567024915,1
"B19","1",1.79997746543616,1
"B19","2",1.3592714346188,0
"B19","2",0.969794469549479,1
"B19","3",0.998353329465366,0
"B19","3",1.81066897237497,1
"B19","4",1.26291957584992,0
"B19","5",1.0271282279428,0
"B19","5",1.23618603315974,1
"B19","6",0.865131275358973,1
"B20","1",1.81041139132143,1
"B20","2",2.72346042602433,0
"B20","2",1.56176635316612,1
"B20","3",4.04011865113826,0
"B20","3",1.23480373563874,1
"B20","4",2.44388650848485,0
"B20","4",1.55046572937336,1
"B20","5",1.85974389152947,0
"B20","5",1.31274069614471,1
"B20","6",1.76329215784102,0
